,index,userID,placeID,rating,food_rating,service_rating
0,0,1,1,2,2,2
1,2,1,2,2,2,2
2,3,1,3,1,2,2
3,4,2,4,1,1,2
4,5,2,5,0,0,0
5,7,2,6,0,0,0
6,9,3,7,2,2,2
7,10,3,8,1,1,1
8,11,3,6,1,2,2
9,13,3,4,0,0,0
10,14,3,9,1,0,0
11,15,4,7,1,2,1
12,16,4,6,0,0,2
13,18,4,10,2,2,2
14,19,4,11,1,2,2
15,20,4,4,1,2,0
16,22,4,8,2,2,2
17,24,5,7,2,2,2
18,25,5,8,2,2,2
19,26,6,12,2,2,2
20,28,7,13,2,2,1
21,29,7,14,1,1,1
22,30,7,10,1,1,0
23,35,8,15,0,0,0
24,36,8,16,0,0,0
25,37,9,10,0,0,0
26,38,9,17,0,0,0
27,39,9,13,0,0,0
28,40,9,14,0,0,0
29,42,9,9,0,0,0
30,44,10,16,2,2,2
31,45,10,8,2,1,2
32,46,10,5,1,2,1
33,47,11,18,0,0,0
34,48,12,8,1,2,1
35,49,12,13,1,2,1
36,50,12,4,2,2,2
37,51,12,7,1,2,0
38,52,12,11,1,2,1
39,53,12,5,1,1,1
40,54,12,10,1,2,1
41,55,12,17,1,1,1
42,56,13,5,2,2,1
43,57,14,19,2,2,2
44,59,13,15,2,2,1
45,61,15,20,2,2,2
46,62,15,21,1,1,1
47,63,15,22,2,2,1
48,64,16,23,2,2,2
49,65,16,24,1,2,1
50,66,16,25,2,2,1
51,67,16,26,1,1,1
52,68,16,1,1,2,1
53,69,16,27,2,1,2
54,70,16,28,1,1,0
55,71,16,21,2,2,2
56,72,16,22,1,2,1
57,73,16,29,1,1,1
58,75,17,30,2,2,2
59,82,18,31,2,2,2
60,86,17,31,2,2,2
61,87,18,12,1,0,1
62,88,19,32,2,2,2
63,91,18,32,0,0,0
64,93,18,33,0,0,0
65,98,20,34,2,1,1
66,101,21,35,1,1,1
67,104,21,30,0,0,1
68,105,22,32,1,2,1
69,106,23,34,2,1,0
70,111,23,35,2,2,2
71,113,24,30,1,1,1
72,115,24,36,1,1,0
73,116,24,32,0,0,0
74,117,24,34,2,2,2
75,124,25,37,2,1,2
76,125,25,12,0,1,0
77,127,14,38,0,2,0
78,130,8,5,0,0,0
79,131,8,8,2,2,2
80,134,26,8,1,1,1
81,135,26,13,2,2,2
82,137,27,7,2,1,1
83,138,27,14,1,0,1
84,139,27,4,1,2,1
85,140,27,11,1,2,1
86,142,26,15,1,1,1
87,143,9,6,0,0,0
88,144,9,8,0,0,0
89,148,28,31,1,1,1
90,149,28,36,0,0,1
91,150,28,12,1,1,2
