index,placeID,Rpayment
0,135110,cash
1,135110,VISA
2,135110,MasterCard-Eurocard
3,135110,American_Express
4,135110,bank_debit_cards
5,135109,cash
6,135107,cash
7,135107,VISA
8,135107,MasterCard-Eurocard
9,135107,American_Express
10,135107,bank_debit_cards
11,135106,cash
12,135106,VISA
13,135106,MasterCard-Eurocard
14,135105,cash
15,135104,cash
16,135104,VISA
17,135104,MasterCard-Eurocard
18,135103,cash
19,135103,VISA
20,135103,MasterCard-Eurocard
21,135102,cash
22,135102,VISA
23,135102,MasterCard-Eurocard
24,135102,bank_debit_cards
25,135101,cash
26,135100,cash
27,135099,cash
28,135099,VISA
29,135099,MasterCard-Eurocard
30,135098,cash
31,135098,VISA
32,135098,MasterCard-Eurocard
33,135098,bank_debit_cards
34,135097,cash
35,135097,VISA
36,135097,MasterCard-Eurocard
37,135097,bank_debit_cards
38,135094,cash
39,135093,cash
40,135093,bank_debit_cards
41,135092,cash
42,135091,cash
43,135091,VISA
44,135091,MasterCard-Eurocard
45,135090,cash
46,135089,cash
47,135089,VISA
48,135089,MasterCard-Eurocard
49,135089,bank_debit_cards
50,135088,cash
51,135086,cash
52,135086,VISA
53,135086,MasterCard-Eurocard
54,135085,cash
55,135084,cash
56,135084,VISA
57,135084,MasterCard-Eurocard
58,135082,cash
59,135081,cash
60,135081,VISA
61,135081,MasterCard-Eurocard
62,135080,cash
63,135080,VISA
64,135080,MasterCard-Eurocard
65,135080,American_Express
66,135079,cash
67,135079,American_Express
68,135078,cash
69,135078,VISA
70,135078,MasterCard-Eurocard
71,135077,cash
72,135076,cash
73,135076,VISA
74,135076,MasterCard-Eurocard
75,135076,American_Express
76,135075,cash
77,135074,cash
78,135074,VISA
79,135074,MasterCard-Eurocard
80,135073,cash
81,135073,VISA
82,135073,MasterCard-Eurocard
83,135072,cash
84,135072,VISA
85,135072,MasterCard-Eurocard
86,135072,American_Express
87,135071,cash
88,135071,VISA
89,135071,MasterCard-Eurocard
90,135071,American_Express
91,135070,cash
92,135069,cash
93,135068,cash
94,135068,VISA
95,135068,MasterCard-Eurocard
96,135067,cash
97,135067,VISA
98,135067,MasterCard-Eurocard
99,135066,cash
100,135066,VISA
101,135066,MasterCard-Eurocard
102,135065,cash
103,135065,VISA
104,135065,MasterCard-Eurocard
105,135065,American_Express
106,135064,cash
107,135064,VISA
108,135064,MasterCard-Eurocard
109,135063,cash
110,135062,cash
111,135061,cash
112,135061,VISA
113,135061,MasterCard-Eurocard
114,135061,American_Express
115,135060,cash
116,135059,cash
117,135058,cash
118,135058,VISA
119,135058,MasterCard-Eurocard
120,135057,cash
121,135057,VISA
122,135057,MasterCard-Eurocard
123,135057,American_Express
124,135056,cash
125,135055,cash
126,135055,VISA
127,135055,MasterCard-Eurocard
128,135055,American_Express
129,135054,cash
130,135054,VISA
131,135054,MasterCard-Eurocard
132,135053,cash
133,135053,VISA
134,135053,MasterCard-Eurocard
135,135053,American_Express
136,135052,cash
137,135052,VISA
138,135052,MasterCard-Eurocard
139,135051,cash
140,135050,cash
141,135050,VISA
142,135050,MasterCard-Eurocard
143,135050,American_Express
144,135049,cash
145,135048,cash
146,135048,VISA
147,135048,MasterCard-Eurocard
148,135048,American_Express
149,135047,cash
150,135047,VISA
151,135047,MasterCard-Eurocard
152,135046,cash
153,135046,VISA
154,135046,MasterCard-Eurocard
155,135045,cash
156,135045,VISA
157,135045,MasterCard-Eurocard
158,135045,American_Express
159,135044,cash
160,135043,cash
161,135042,cash
162,135041,cash
163,135040,cash
164,135040,VISA
165,135040,MasterCard-Eurocard
166,135039,cash
167,135038,cash
168,135037,cash
169,135037,VISA
170,135037,MasterCard-Eurocard
171,135036,cash
172,135035,cash
173,135035,VISA
174,135035,MasterCard-Eurocard
175,135035,American_Express
176,135034,cash
177,135034,VISA
178,135034,MasterCard-Eurocard
179,135034,American_Express
180,135033,cash
181,135033,VISA
182,135033,MasterCard-Eurocard
183,135033,American_Express
184,135032,cash
185,135032,VISA
186,135032,MasterCard-Eurocard
187,135031,cash
188,135031,VISA
189,135031,MasterCard-Eurocard
190,135030,cash
191,135029,cash
192,135029,VISA
193,135029,MasterCard-Eurocard
194,135029,American_Express
195,135028,cash
196,135028,VISA
197,135028,MasterCard-Eurocard
198,135028,American_Express
199,135027,cash
200,135027,VISA
201,135027,MasterCard-Eurocard
202,135027,American_Express
203,135025,cash
204,135025,VISA
205,135025,MasterCard-Eurocard
206,135025,American_Express
207,135024,cash
208,135024,VISA
209,135024,MasterCard-Eurocard
210,135024,American_Express
211,135023,cash
212,135022,cash
213,135021,cash
214,135018,cash
215,135018,VISA
216,135018,MasterCard-Eurocard
217,135018,bank_debit_cards
218,135017,cash
219,135016,cash
220,135015,cash
221,135014,cash
222,135013,cash
223,135012,cash
224,135011,cash
225,135010,cash
226,135009,cash
227,135008,cash
228,135008,VISA
229,135008,MasterCard-Eurocard
230,135008,American_Express
231,135007,VISA
232,135007,MasterCard-Eurocard
233,135007,American_Express
234,135006,cash
235,135006,VISA
236,135006,MasterCard-Eurocard
237,135006,American_Express
238,135005,cash
239,135004,cash
240,135004,VISA
241,135004,MasterCard-Eurocard
242,135003,cash
243,135002,VISA
244,135002,MasterCard-Eurocard
245,135002,American_Express
246,135001,cash
247,135001,VISA
248,135001,MasterCard-Eurocard
249,135001,American_Express
250,135000,cash
251,134998,cash
252,134996,cash
253,134995,cash
254,134994,cash
255,134994,VISA
256,134994,MasterCard-Eurocard
257,134993,cash
258,134993,VISA
259,134993,MasterCard-Eurocard
260,134993,American_Express
261,134992,cash
262,134992,VISA
263,134992,MasterCard-Eurocard
264,134991,cash
265,134991,VISA
266,134991,MasterCard-Eurocard
267,134991,American_Express
268,134990,cash
269,134989,cash
270,134989,VISA
271,134989,MasterCard-Eurocard
272,134989,American_Express
273,134988,VISA
274,134988,MasterCard-Eurocard
275,134988,American_Express
276,134987,cash
277,134985,VISA
278,134985,MasterCard-Eurocard
279,134985,American_Express
280,134984,cash
281,134984,VISA
282,134984,MasterCard-Eurocard
283,134983,cash
284,134983,VISA
285,134983,MasterCard-Eurocard
286,134982,cash
287,134981,cash
288,134980,cash
289,134978,cash
290,134978,VISA
291,134978,MasterCard-Eurocard
292,134977,cash
293,134977,VISA
294,134977,MasterCard-Eurocard
295,134976,VISA
296,134976,MasterCard-Eurocard
297,134976,American_Express
298,134976,checks
299,134975,cash
