index,placeID,Rcuisine
0,135110,Spanish
1,135109,Italian
2,135107,Latin_American
3,135106,Mexican
4,135105,Fast_Food
5,135104,Mexican
6,135103,Burgers
7,135103,Dessert-Ice_Cream
8,135103,Fast_Food
9,135103,Hot_Dogs
10,135102,Latin_American
11,135102,Mexican
12,135102,Steaks
13,135101,Mexican
14,135101,Steaks
15,135100,Mexican
16,135100,Steaks
17,135099,Asian
18,135099,Dessert-Ice_Cream
19,135099,International
20,135099,Mongolian
21,135099,Steaks
22,135099,Vegetarian
23,135098,Brazilian
24,135098,International
25,135098,Latin_American
26,135098,Steaks
27,135097,Cafe-Coffee_Shop
28,135097,Cafeteria
29,135097,Contemporary
30,135097,Deli-Sandwiches
31,135097,Diner
32,135097,Mexican
33,135094,Mexican
34,135093,Mexican
35,135092,Cafeteria
36,135092,Mexican
37,135091,Japanese
38,135091,Sushi
39,135090,Mexican
40,135089,Seafood
41,135088,Cafeteria
42,135086,Burgers
43,135086,Fast_Food
44,135085,Fast_Food
45,135079,Chinese
46,135075,Seafood
47,135074,Contemporary
48,135073,Bar
49,135073,Bar_Pub_Brewery
50,135072,Japanese
51,135071,Bar
52,135071,Bar_Pub_Brewery
53,135069,Bar
54,135061,Contemporary
55,135060,Seafood
56,135059,Bar
57,135058,Pizzeria
58,135057,Bar
59,135056,Bar
60,135055,Mexican
61,135054,Seafood
62,135053,Cafeteria
63,135053,Fast_Food
64,135053,Pizzeria
65,135052,Bar
66,135052,Bar_Pub_Brewery
67,135049,Seafood
68,135048,Bar
69,135046,Fast_Food
70,135044,Chinese
71,135043,Fast_Food
72,135043,Pizzeria
73,135042,Chinese
74,135041,Bar
75,135041,Cafeteria
76,135039,Seafood
77,135037,Mexican
78,135036,Bar
79,135035,Italian
80,135034,Japanese
81,135032,Cafeteria
82,135032,Contemporary
83,135031,Seafood
84,135030,Cafe-Coffee_Shop
85,135030,Cafeteria
86,135029,Bar
87,135029,Bar_Pub_Brewery
88,135028,Mexican
89,135027,Mexican
90,135026,Bar
91,135026,Bar_Pub_Brewery
92,135025,Mexican
93,135022,Mexican
94,135021,Fast_Food
95,135020,Bar
96,135020,Mexican
97,135019,Bar
98,135018,Mexican
99,135008,Contemporary
100,135007,Bar
101,135007,Bar_Pub_Brewery
102,135007,Mexican
103,135005,Mexican
104,135004,Bar
105,135004,Bar_Pub_Brewery
106,135003,Chinese
107,135002,Mexican
108,134999,Japanese
109,134997,Bar
110,134997,Cafe-Coffee_Shop
111,134997,Cafeteria
112,134990,Bar
113,134990,Bar_Pub_Brewery
114,134989,Mexican
115,134988,Mediterranean
116,134986,International
117,134985,Mexican
118,134984,Italian
119,134983,Bar
120,134983,Bar_Pub_Brewery
121,134982,Bar
122,134982,Bar_Pub_Brewery
123,134981,Italian
124,134980,Seafood
125,134976,Mexican
126,134976,Mediterranean
127,134976,Burgers
128,134973,Mexican
129,134972,Cafe-Coffee_Shop
130,134972,Cafeteria
131,134971,Mexican
132,133049,Latin_American
133,133048,Mexican
134,133047,American
135,133043,International
136,133039,Family
137,133038,Cafeteria
138,133037,Mexican
139,133036,Family
140,133035,Caribbean
141,133034,Mexican
142,133033,American
143,133032,Mexican
144,133031,Mexican
145,133030,Family
146,133029,Bar
147,133028,Mexican
148,133027,Cafeteria
149,133026,Family
150,133020,American
151,133014,Contemporary
152,133010,Italian
153,133009,American
154,133008,American
155,133007,American
156,133000,Family
157,132996,Mexican
158,132995,American
159,132994,American
160,132993,Mexican
161,132992,American
162,132986,Mexican
163,132985,Mexican
164,132980,Mexican
165,132973,Mexican
166,132972,Mexican
167,132971,Mexican
168,132970,American
169,132969,Bar
170,132968,Bar
171,132967,Bar
172,132966,Bar
173,132965,Bar
174,132964,Bar
175,132963,Mexican
176,132962,Burgers
177,132962,Hot_Dogs
178,132961,Mexican
179,132960,Mexican
180,132959,Mexican
181,132958,American
182,132957,American
183,132956,African
184,132955,Bar_Pub_Brewery
185,132954,Breakfast-Brunch
186,132953,Mexican
187,132951,American
188,132950,Mexican
189,132948,Mexican
190,132947,Mexican
191,132946,Mexican
192,132945,Mexican
193,132943,Mexican
194,132942,Mexican
195,132941,Mexican
196,132940,Burgers
197,132939,Mexican
198,132938,Mexican
199,132937,Bar
200,132936,Mexican
201,132935,Mexican
202,132934,Mexican
203,132933,American
204,132932,Mexican
205,132930,Mexican
206,132929,Mexican
207,132928,Mexican
208,132927,Mexican
209,132926,Mexican
210,132925,Mexican
211,132924,Pizzeria
212,132923,Family
213,132922,Cafeteria
214,132921,Bar
215,132920,Mexican
216,132919,Mexican
217,132918,Mexican
218,132917,American
219,132917,Mexican
220,132916,American
221,132915,Mexican
222,132914,Mexican
223,132913,Mexican
224,132912,Mexican
225,132911,Mexican
226,132910,Mexican
227,132909,Mexican
228,132908,Mexican
229,132907,Mexican
230,132906,Mexican
231,132904,Mexican
232,132903,Mexican
233,132902,Mexican
234,132901,Regional
235,132900,Mexican
236,132899,Mexican
237,132897,Mexican
238,132896,Mexican
239,132895,Mexican
240,132894,Mexican
241,132893,Mexican
242,132892,Chinese
243,132891,Mexican
244,132890,Mexican
245,132889,Mexican
246,132888,Afghan
247,132887,Italian
248,132886,American
249,132885,Cafeteria
250,132875,Japanese
251,132873,American
252,132872,American
253,132871,Mexican
254,132870,Burgers
255,132869,Pizzeria
256,132868,Mexican
257,132867,Bar
258,132867,Mexican
259,132866,Bakery
260,132866,Cafeteria
261,132865,Mexican
262,132864,Mexican
263,132863,International
264,132862,International
265,132861,Burgers
266,132860,International
267,132859,International
268,132858,Burgers
269,132857,International
270,132856,Italian
271,132855,Mexican
272,132854,International
273,132853,Fast_Food
274,132852,Latin_American
275,132852,Mexican
276,132851,American
277,132851,Game
278,132846,International
279,132845,Mexican
280,132843,Mexican
281,132842,Mexican
282,132841,Mexican
283,132840,Mexican
284,132839,Mexican
285,132838,Mexican
286,132837,Mexican
287,132836,Mexican
288,132835,Mexican
289,132834,Mexican
290,132833,Mexican
291,132829,Mexican
292,132828,Mexican
293,132827,Mexican
294,132825,Mexican
295,132811,International
296,132810,Vegetarian
297,132807,Cafeteria
298,132806,Mexican
299,132805,Mexican
300,132804,Bar
301,132803,Chinese
302,132802,Chinese
303,132801,Mexican
304,132799,Armenian
305,132798,Mexican
306,132797,Cafeteria
307,132796,American
308,132795,American
309,132794,Vegetarian
310,132793,Mexican
311,132792,International
312,132791,Mexican
313,132790,International
314,132789,Mexican
315,132788,American
316,132787,International
317,132786,International
318,132785,Mexican
319,132784,Italian
320,132783,International
321,132782,Family
322,132781,Mexican
323,132779,Mexican
324,132778,Mexican
325,132777,Mexican
326,132776,Mexican
327,132775,Mexican
328,132774,American
329,132774,Bakery
330,132774,Breakfast-Brunch
331,132774,Burgers
332,132774,Cafe-Coffee_Shop
333,132774,Cafeteria
334,132774,Diner
335,132774,Family
336,132774,Mexican
337,132773,Family
338,132773,Mexican
339,132772,Mexican
340,132771,Japanese
341,132770,Spanish
342,132769,Mexican
343,132768,Family
344,132767,Vietnamese
345,132766,Japanese
346,132765,Mexican
347,132764,Mexican
348,132763,Mexican
349,132761,Mexican
350,132760,Mexican
351,132758,Mexican
352,132757,Mexican
353,132756,Italian
354,132755,Mexican
355,132754,Mexican
356,132753,Mexican
357,132752,Cafeteria
358,132751,Burgers
359,132750,Burgers
360,132749,Mexican
361,132748,Mexican
362,132747,Chinese
363,132746,Mexican
364,132745,American
365,132744,Mexican
366,132743,Mexican
367,132742,Mexican
368,132741,Mexican
369,132740,Mexican
370,132739,Mexican
371,132738,Hot_Dogs
372,132737,Mexican
373,132736,Korean
374,132735,Mexican
375,132734,Pizzeria
376,132733,Pizzeria
377,132732,Mexican
378,132725,Fast_Food
379,132724,American
380,132723,Mexican
381,132719,Hot_Dogs
382,132718,Hot_Dogs
383,132717,Fast_Food
384,132715,Mexican
385,132714,Mexican
386,132713,American
387,132712,Mexican
388,132711,Mexican
389,132710,Mexican
390,132709,Mexican
391,132708,Mexican
392,132707,Mexican
393,132706,Mexican
394,132705,Mexican
395,132704,Mexican
396,132703,Mexican
397,132702,Mexican
398,132701,Mexican
399,132700,Mexican
400,132699,Mexican
401,132698,Mexican
402,132697,Mexican
403,132696,Mexican
404,132695,Mexican
405,132694,Mexican
406,132693,Bar
407,132692,Mexican
408,132691,Mexican
409,132690,Mexican
410,132689,American
411,132688,Mexican
412,132687,Japanese
413,132686,Thai
414,132685,Barbecue
415,132684,American
416,132683,American
417,132682,American
418,132681,Mexican
419,132680,Mexican
420,132679,American
421,132678,Mexican
422,132677,Mexican
423,132676,Armenian
424,132675,Mexican
425,132674,American
426,132673,Mexican
427,132672,Mexican
428,132671,Armenian
429,132670,Mexican
430,132669,Mexican
431,132668,Mexican
432,132667,Armenian
433,132666,Mexican
434,132665,Mexican
435,132664,Mexican
436,132663,Mexican
437,132662,Mexican
438,132658,American
439,132657,Mexican
440,132655,American
441,132653,American
442,132652,Mexican
443,132650,American
444,132649,Mexican
445,132648,African
446,132646,Mexican
447,132645,American
448,132643,Mexican
449,132642,African
450,132640,American
451,132638,American
452,132637,Mexican
453,132636,American
454,132635,American
455,132634,Mexican
456,132632,Mexican
457,132631,Mexican
458,132630,Mexican
459,132629,Mexican
460,132628,Italian
461,132626,Italian
462,132625,Mexican
463,132624,Mexican
464,132623,Mexican
465,132622,Chinese
466,132621,Mexican
467,132620,Fast_Food
468,132619,Mexican
469,132618,Fast_Food
470,132617,Mexican
471,132615,Mexican
472,132614,Mexican
473,132613,Mexican
474,132612,Pizzeria
475,132611,Mexican
476,132610,Mexican
477,132609,Fast_Food
478,132608,Mexican
479,132607,Mexican
480,132606,American
481,132605,American
482,132604,Cafeteria
483,132603,Mexican
484,132602,Mexican
485,132601,Cafe-Coffee_Shop
486,132600,American
487,132599,Mexican
488,132598,Mexican
489,132596,Mexican
490,132595,Mexican
491,132594,Mexican
492,132593,Mexican
493,132592,Mexican
494,132591,Mexican
495,132590,Hot_Dogs
496,132589,Cafeteria
497,132588,Mexican
498,132587,American
499,132584,Mexican
500,132583,American
501,132582,Bakery
502,132581,Dessert-Ice_Cream
503,132580,Mexican
504,132579,Fast_Food
505,132578,Mexican
506,132577,Fast_Food
507,132576,Fast_Food
508,132575,Diner
509,132574,Pizzeria
510,132573,Hot_Dogs
511,132572,Cafeteria
512,132560,Regional
513,132557,Italian
514,132555,International
515,132555,Polish
516,132555,Vegetarian
517,132551,Dutch-Belgian
518,132550,Italian
519,132549,International
520,132548,International
521,132547,International
522,132546,International
523,132545,International
524,132544,French
525,132543,Dutch-Belgian
526,132542,International
527,132541,Steaks
528,132540,Dutch-Belgian
529,132539,Cafe-Coffee_Shop
530,132538,International
531,132537,Dutch-Belgian
532,132536,Dutch-Belgian
533,132535,International
534,132533,French
535,132532,Vegetarian
536,132531,Barbecue
537,132531,Dutch-Belgian
538,132530,Cafe-Coffee_Shop
539,132530,Dutch-Belgian
540,132529,International
541,132528,International
542,132527,French
543,132527,Dutch-Belgian
544,132526,International
545,132525,International
546,132524,International
547,132523,International
548,132522,International
549,132521,French
550,132521,Dutch-Belgian
551,132519,Japanese
552,132518,Japanese
553,132517,French
554,132514,Dutch-Belgian
555,132513,German
556,132511,German
557,132509,French
558,132493,Seafood
559,132493,Southwestern
560,132493,Steaks
561,132491,Bakery
562,132491,Cafe-Coffee_Shop
563,132488,Mexican
564,132487,Southwestern
565,132485,Cafe-Coffee_Shop
566,132484,Italian
567,132483,Armenian
568,132483,German
569,132483,Persian
570,132482,German
571,132481,German
572,132479,German
573,132478,German
