index,placeID,hours,days
0,135111,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
1,135111,00:00-23:30;,Sat;
2,135111,00:00-23:30;,Sun;
3,135110,08:00-19:00;,Mon;Tue;Wed;Thu;Fri;
4,135110,00:00-00:00;,Sat;
5,135110,00:00-00:00;,Sun;
6,135109,08:00-21:00;,Mon;Tue;Wed;Thu;Fri;
7,135109,08:00-21:00;,Sat;
8,135109,08:00-21:00;,Sun;
9,135108,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
10,135108,00:00-23:30;,Sat;
11,135108,00:00-23:30;,Sun;
12,135107,07:00-23:30;,Mon;Tue;Wed;Thu;Fri;
13,135107,07:00-23:30;,Sat;
14,135107,07:00-23:30;,Sun;
15,135106,18:00-23:30;,Mon;Tue;Wed;Thu;Fri;
16,135106,18:00-23:30;,Sat;
17,135106,18:00-21:00;,Sun;
18,135105,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
19,135105,20:30-23:30;,Sat;
20,135105,00:00-23:30;,Sun;
21,135104,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
22,135104,00:00-23:30;,Sat;
23,135104,00:00-23:30;,Sun;
24,135103,12:00-22:00;,Mon;Tue;Wed;Thu;Fri;
25,135103,12:00-23:00;,Sat;
26,135103,12:00-22:00;,Sun;
27,135102,09:00-23:00;,Mon;Tue;Wed;Thu;Fri;
28,135102,09:00-01:00;,Sat;
29,135102,09:00-22:00;,Sun;
30,135101,13:00-08:00;,Mon;Tue;Wed;Thu;Fri;
31,135101,13:00-08:00;,Sat;
32,135101,13:00-08:00;,Sun;
33,135100,14:00-23:30;,Mon;Tue;Wed;Thu;Fri;
34,135100,14:00-23:30;,Sat;
35,135100,14:00-23:30;,Sun;
36,135099,13:00-23:00;,Mon;Tue;Wed;Thu;Fri;
37,135099,13:00-00:00;,Sat;
38,135099,13:00-22:00;,Sun;
39,135098,13:00-23:30;,Mon;Tue;Wed;Thu;Fri;
40,135098,13:00-00:30;,Sat;
41,135098,13:00-01:00;,Sun;
42,135097,10:00-23:30;,Mon;Tue;Wed;Thu;Fri;
43,135097,10:00-23:30;,Sat;
44,135097,11:00-23:30;,Sun;
45,135094,11:00-23:30;,Mon;Tue;Wed;Thu;Fri;
46,135094,11:00-23:30;,Sat;
47,135094,11:00-22:00;,Sun;
48,135093,12:00-22:00;,Mon;Tue;Wed;Thu;Fri;
49,135093,12:00-22:00;,Sat;
50,135093,12:00-22:00;,Sun;
51,135092,09:00-17:00;,Mon;Tue;Wed;Thu;Fri;
52,135092,09:00-13:00;,Sat;
53,135092,00:00-23:30;,Sun;
54,135091,11:00-21:00;,Mon;Tue;Wed;Thu;Fri;
55,135091,11:00-21:00;,Sat;
56,135091,11:00-21:00;,Sun;
