index,placeID,parking_lot
0,135111,public
1,135110,none
2,135109,none
3,135108,none
4,135107,none
5,135106,none
6,135105,none
7,135104,yes
8,135103,valet parking
9,135102,valet parking
10,135101,public
11,135100,none
12,135099,valet parking
13,135098,valet parking
14,135097,yes
15,135094,public
16,135093,yes
17,135092,none
18,135091,fee
19,135090,public
20,135089,yes
21,135088,public
22,135086,yes
23,135085,public
24,135084,yes
25,135082,none
26,135081,none
27,135080,none
28,135079,none
29,135078,yes
30,135077,yes
31,135076,yes
32,135075,yes
33,135074,public
34,135073,yes
35,135072,none
36,135071,yes
37,135070,yes
38,135069,yes
39,135068,yes
40,135067,none
41,135066,yes
42,135065,none
43,135064,yes
44,135063,none
45,135062,yes
46,135061,yes
47,135060,none
48,135059,yes
49,135058,public
50,135057,yes
51,135056,none
52,135055,yes
53,135054,yes
54,135053,yes
55,135052,none
56,135051,none
57,135050,yes
58,135049,none
59,135048,yes
60,135047,yes
61,135046,yes
62,135045,yes
63,135044,none
64,135043,none
65,135042,none
66,135041,none
67,135040,yes
68,135039,yes
69,135038,none
70,135037,yes
71,135036,yes
72,135035,yes
73,135034,none
74,135033,none
75,135032,public
76,135031,yes
77,135030,none
78,135029,none
79,135028,none
80,135027,none
81,135026,none
82,135025,none
83,135024,yes
84,135023,none
85,135022,none
86,135021,public
87,135020,yes
88,135019,none
89,135018,yes
90,135017,none
91,135016,none
92,135015,none
93,135014,none
94,135013,none
95,135012,none
96,135011,none
97,135010,none
98,135009,none
99,135008,yes
100,135007,none
101,135006,yes
102,135005,none
103,135004,none
104,135003,yes
105,135002,none
106,135001,yes
107,135000,none
108,134999,none
109,134998,yes
110,134997,none
111,134996,yes
112,134995,none
113,134994,none
114,134993,none
115,134992,yes
116,134991,yes
117,134990,yes
118,134989,yes
119,134988,valet parking
120,134987,none
121,134986,yes
122,134985,yes
123,134984,yes
124,134983,yes
125,134982,none
126,134981,none
127,134980,none
128,134979,none
129,134978,yes
130,134977,yes
131,134976,yes
132,134975,valet parking
133,134974,yes
134,134973,none
135,134972,none
136,134971,yes
137,134970,yes
138,133049,yes
139,133048,yes
140,133047,yes
141,133043,yes
142,133042,none
143,133041,none
144,133040,none
145,133039,none
146,133038,none
147,133037,none
148,133036,none
149,133035,public
150,133034,none
151,133033,none
152,133032,none
153,133031,none
154,133030,none
155,133029,yes
156,133028,none
157,133027,none
158,133026,none
159,133025,none
160,133024,none
161,133023,none
162,133022,none
163,133021,none
164,133020,none
165,133019,none
166,133018,none
167,133017,none
168,133016,none
169,133015,none
170,133014,public
171,133013,none
172,133012,none
173,133011,none
174,133010,yes
175,133009,yes
176,133008,yes
177,133007,none
178,133006,none
179,133005,none
180,133004,none
181,133003,none
182,133002,none
183,133001,none
184,133000,none
185,132999,none
186,132998,none
187,132997,public
188,132996,none
189,132995,none
190,132994,none
191,132993,none
192,132992,none
193,132986,none
194,132985,none
195,132984,none
196,132983,none
197,132982,none
198,132981,none
199,132980,none
200,132979,none
201,132978,none
202,132977,none
203,132976,none
204,132975,none
205,132974,none
206,132973,none
207,132972,none
208,132971,none
209,132970,none
210,132969,public
211,132968,yes
212,132967,public
213,132966,public
214,132965,public
215,132964,none
216,132963,none
217,132962,none
218,132961,none
219,132960,yes
220,132959,none
221,132958,none
222,132957,none
223,132956,none
224,132955,none
225,132954,yes
226,132953,yes
227,132951,yes
228,132950,none
229,132948,none
230,132947,none
231,132946,public
232,132945,none
233,132944,none
234,132943,public
235,132942,none
236,132941,none
237,132940,none
238,132939,none
239,132938,none
240,132937,none
241,132936,none
242,132935,none
243,132934,none
244,132933,none
245,132932,public
246,132931,none
247,132930,none
248,132929,public
249,132928,none
250,132927,none
251,132926,none
252,132925,none
253,132924,none
254,132923,none
255,132922,none
256,132921,none
257,132920,none
258,132919,none
259,132918,none
260,132917,none
261,132916,none
262,132915,none
263,132914,none
264,132913,none
265,132912,none
266,132911,none
267,132910,none
268,132909,public
269,132908,none
270,132907,none
271,132906,none
272,132905,none
273,132904,none
