index,userID,placeID,rating,food_rating,service_rating
0,U1077,135085,2,2,2
2,U1077,132825,2,2,2
3,U1077,135060,1,2,2
4,U1068,135104,1,1,2
5,U1068,132740,0,0,0
7,U1068,132732,0,0,0
9,U1067,132584,2,2,2
10,U1067,132733,1,1,1
11,U1067,132732,1,2,2
13,U1067,135104,0,0,0
14,U1067,132560,1,0,0
15,U1103,132584,1,2,1
16,U1103,132732,0,0,2
18,U1103,132613,2,2,2
19,U1103,132667,1,2,2
20,U1103,135104,1,2,0
22,U1103,132733,2,2,2
24,U1107,132584,2,2,2
25,U1107,132733,2,2,2
26,U1044,135088,2,2,2
28,U1070,132608,2,2,1
29,U1070,132609,1,1,1
30,U1070,132613,1,1,0
35,U1023,132715,0,0,0
36,U1023,132717,0,0,0
37,U1082,132613,0,0,0
38,U1082,132594,0,0,0
39,U1082,132608,0,0,0
40,U1082,132609,0,0,0
42,U1082,132560,0,0,0
44,U1060,132717,2,2,2
45,U1060,132733,2,1,2
46,U1060,132740,1,2,1
47,U1015,135071,0,0,0
48,U1123,132733,1,2,1
49,U1123,132608,1,2,1
50,U1123,135104,2,2,2
51,U1123,132584,1,2,0
52,U1123,132667,1,2,1
53,U1123,132740,1,1,1
54,U1123,132613,1,2,1
55,U1123,132594,1,1,1
56,U1021,132740,2,2,1
57,U1026,132626,2,2,2
59,U1021,132715,2,2,1
61,U1083,135034,2,2,2
62,U1083,132723,1,1,1
63,U1083,135046,2,2,1
64,U1108,135075,2,2,2
65,U1108,132572,1,2,1
66,U1108,135074,2,2,1
67,U1108,135028,1,1,1
68,U1108,135085,1,2,1
69,U1108,135032,2,1,2
70,U1108,135086,1,1,0
71,U1108,132723,2,2,2
72,U1108,135046,1,2,1
73,U1108,135058,1,1,1
75,U1012,134983,2,2,2
82,U1030,135018,2,2,2
86,U1012,135018,2,2,2
87,U1030,135088,1,0,1
88,U1093,132767,2,2,2
91,U1030,132767,0,0,0
93,U1030,135109,0,0,0
98,U1127,135021,2,1,1
101,U1017,132768,1,1,1
104,U1017,134983,0,0,1
105,U1066,132767,1,2,1
106,U1100,135021,2,1,0
111,U1100,132768,2,2,2
113,U1133,134983,1,1,1
115,U1133,132766,1,1,0
116,U1133,132767,0,0,0
117,U1133,135021,2,2,2
124,U1072,132773,2,1,2
125,U1072,135088,0,1,0
127,U1026,132706,0,2,0
130,U1023,132740,0,0,0
131,U1023,132733,2,2,2
134,U1080,132733,1,1,1
135,U1080,132608,2,2,2
137,U1063,132584,2,1,1
138,U1063,132609,1,0,1
139,U1063,135104,1,2,1
140,U1063,132667,1,2,1
142,U1080,132715,1,1,1
143,U1082,132732,0,0,0
144,U1082,132733,0,0,0
148,U1117,135018,1,1,1
149,U1117,132766,0,0,1
150,U1117,135088,1,1,2
152,U1117,132773,1,2,2
155,U1118,132768,0,0,0
156,U1118,135021,2,0,0
157,U1118,134983,0,0,0
160,U1020,135088,1,2,0
161,U1020,132768,2,2,2
163,U1020,135109,2,2,1
164,U1051,135088,1,1,1
165,U1051,135109,1,1,1
166,U1051,132768,1,2,1
168,U1055,135075,2,2,2
